"B1_x","B1_y","N_x","N_y","B_x","B_y"
0,1.1,0,1,0,1.1,
0.01,1.21,0.01,1,0.01,1.21,
0.02,1.32,0.02,1,0.02,1.32,
0.03,1.43,0.03,1,0.03,1.43,
0.04,1.54,0.04,1,0.04,1.54,
0.05,1.65,0.05,1,0.05,1.65,
0.06,1.76,0.06,1,0.06,1.76,
0.07,1.87,0.07,1,0.07,1.87,
0.08,1.98,0.08,1,0.08,1.98,
0.09,2.09,0.09,1,0.09,2.09,
0.1,2.2,0.1,1,0.1,2.2,
0.11,2.31,0.11,1,0.11,2.31,
0.12,2.42,0.12,1,0.12,2.42,
0.13,2.53,0.13,1,0.13,2.53,
0.14,2.64,0.14,1,0.14,2.64,
0.15,2.75,0.15,1,0.15,2.75,
0.16,2.75,0.16,1,0.16,2.75,
0.17,2.75,0.17,1,0.17,2.75,
0.18,2.75,0.18,1,0.18,2.75,
0.19,2.75,0.19,1,0.19,2.75,
0.2,2.75,0.2,1,0.2,2.75,
0.21,2.75,0.21,1,0.21,2.75,
0.22,2.75,0.22,1,0.22,2.75,
0.23,2.75,0.23,1,0.23,2.75,
0.24,2.75,0.24,1,0.24,2.75,
0.25,2.75,0.25,1,0.25,2.75,
0.26,2.75,0.26,1,0.26,2.75,
0.27,2.75,0.27,1,0.27,2.75,
0.28,2.75,0.28,1,0.28,2.75,
0.29,2.75,0.29,1,0.29,2.75,
0.3,2.75,0.3,1,0.3,2.75,
0.31,2.75,0.31,1,0.31,2.75,
0.32,2.75,0.32,1,0.32,2.75,
0.33,2.75,0.33,1,0.33,2.75,
0.34,2.75,0.34,1,0.34,2.75,
0.35,2.75,0.35,1,0.35,2.75,
0.36,2.75,0.36,1,0.36,2.75,
0.37,2.75,0.37,1,0.37,2.75,
0.38,2.75,0.38,1,0.38,2.75,
0.39,2.75,0.39,1,0.39,2.75,
0.4,2.75,0.4,1,0.4,2.75,
0.41,2.75,0.41,1,0.41,2.75,
0.42,2.75,0.42,1,0.42,2.75,
0.43,2.75,0.43,1,0.43,2.75,
0.44,2.75,0.44,1,0.44,2.75,
0.45,2.75,0.45,1,0.45,2.75,
0.46,2.75,0.46,1,0.46,2.75,
0.47,2.75,0.47,1,0.47,2.75,
0.48,2.75,0.48,1,0.48,2.75,
0.49,2.75,0.49,1,0.49,2.75,
0.5,2.75,0.5,1,0.5,2.75,
0.51,2.75,0.51,1,0.51,2.75,
0.52,2.75,0.52,1,0.52,2.75,
0.53,2.75,0.53,1,0.53,2.75,
0.54,2.75,0.54,1,0.54,2.75,
0.55,2.75,0.55,1,0.55,2.75,
0.56,2.75,0.56,1,0.56,2.75,
0.57,2.75,0.57,1,0.57,2.75,
0.58,2.75,0.58,1,0.58,2.75,
0.59,2.75,0.59,1,0.59,2.75,
0.6,2.75,0.6,1,0.6,2.75,
0.61,2.75,0.61,1,0.61,2.75,
0.62,2.75,0.62,1,0.62,2.75,
0.63,2.75,0.63,1,0.63,2.75,
0.64,2.75,0.64,1,0.64,2.75,
0.65,2.75,0.65,1,0.65,2.75,
0.66,2.75,0.66,1,0.66,2.75,
0.67,2.75,0.67,1,0.67,2.75,
0.68,2.75,0.68,1,0.68,2.75,
0.69,2.75,0.69,1,0.69,2.75,
0.7,2.75,0.7,1,0.7,2.75,
0.71,2.711267606,0.71,1.002121212,0.71,2.717018779,
0.72,2.673611111,0.72,1.004242424,0.72,2.684953704,
0.73,2.636986301,0.73,1.006363636,0.73,2.653767123,
0.74,2.601351351,0.74,1.008484848,0.74,2.623423423,
0.75,2.566666667,0.75,1.010606061,0.75,2.593888889,
0.76,2.532894737,0.76,1.012727273,0.76,2.565131579,
0.77,2.5,0.77,1.014848485,0.77,2.537121212,
