B_x,B_y
0,1.1
0.01,1.21
0.02,1.32
0.03,1.43
0.04,1.54
0.05,1.65
0.06,1.76
0.07,1.87
0.08,1.98
0.09,2.09
0.1,2.2
0.11,2.31
0.12,2.42
0.13,2.53
0.14,2.64
0.15,2.75
0.16,2.75
0.17,2.75
0.18,2.75
0.19,2.75
0.2,2.75
0.21,2.75
0.22,2.75
0.23,2.75
0.24,2.75
0.25,2.75
0.26,2.75
0.27,2.75
0.28,2.75
0.29,2.75
0.3,2.75
0.31,2.75
0.32,2.75
0.33,2.75
0.34,2.75
0.35,2.75
0.36,2.75
0.37,2.75
0.38,2.75
0.39,2.75
0.4,2.75
0.41,2.75
0.42,2.75
0.43,2.75
0.44,2.75
0.45,2.75
0.46,2.75
0.47,2.75
0.48,2.75
0.49,2.75
0.5,2.75
0.51,2.75
0.52,2.75
0.53,2.75
0.54,2.75
0.55,2.75
0.56,2.75
0.57,2.75
0.58,2.75
0.59,2.75
0.6,2.75
0.61,2.75
0.62,2.75
0.63,2.75
0.64,2.75
0.65,2.75
0.66,2.75
0.67,2.75
0.68,2.75
0.69,2.75
0.7,2.75
0.71,2.717018779
0.72,2.684953704
0.73,2.653767123
0.74,2.623423423
0.75,2.593888889
0.76,2.565131579
0.77,2.537121212
0.78,2.50982906
0.79,2.483227848
0.8,2.457291667
0.81,2.431995885
0.82,2.407317073
0.83,2.383232932
0.84,2.359722222
0.85,2.336764706
0.86,2.314341085
0.87,2.29243295
0.88,2.271022727
0.89,2.250093633
0.9,2.22962963
0.91,2.209615385
0.92,2.190036232
0.93,2.170878136
0.94,2.15212766
0.95,2.13377193
0.96,2.115798611
0.97,2.098195876
0.98,2.080952381
0.99,2.064057239
1,2.0475
1.01,2.031270627
1.02,2.015359477
1.03,1.999757282
1.04,1.984455128
1.05,1.969444444
1.06,1.954716981
1.07,1.940264798
1.08,1.926080247
1.09,1.912155963
1.1,1.898484848
1.11,1.88506006
1.12,1.871875
1.13,1.858923304
1.14,1.84619883
1.15,1.833695652
1.16,1.821408046
1.17,1.809330484
1.18,1.797457627
1.19,1.785784314
1.2,1.774305556
1.21,1.763016529
1.22,1.751912568
1.23,1.74098916
1.24,1.730241935
1.25,1.719666667
1.26,1.709259259
1.27,1.699015748
1.28,1.688932292
1.29,1.679005168
1.3,1.669230769
1.31,1.659605598
1.32,1.650126263
1.33,1.640789474
1.34,1.63159204
1.35,1.622530864
1.36,1.613602941
1.37,1.604805353
1.38,1.596135266
1.39,1.587589928
1.4,1.579166667
1.41,1.570862884
1.42,1.562676056
1.43,1.55460373
1.44,1.546643519
1.45,1.538793103
1.46,1.531050228
1.47,1.523412698
1.48,1.515878378
1.49,1.50844519
1.5,1.501111111
1.51,1.493874172
1.52,1.486732456
1.53,1.479684096
1.54,1.472727273
1.55,1.465860215
1.56,1.459081197
1.57,1.452388535
1.58,1.445780591
1.59,1.439255765
1.6,1.4328125
1.61,1.426449275
1.62,1.420164609
1.63,1.413957055
1.64,1.407825203
1.65,1.401767677
1.66,1.395783133
1.67,1.389870259
1.68,1.384027778
1.69,1.378254438
1.7,1.37254902
1.71,1.366910331
1.72,1.361337209
1.73,1.355828516
1.74,1.350383142
1.75,1.345
1.76,1.33967803
1.77,1.334416196
1.78,1.329213483
1.79,1.324068901
1.8,1.318981481
1.81,1.313950276
1.82,1.308974359
1.83,1.304052823
1.84,1.299184783
1.85,1.294369369
1.86,1.289605735
1.87,1.284893048
1.88,1.280230496
1.89,1.275617284
1.9,1.271052632
1.91,1.266535777
